A,B,C,X1,f4,p-value,,,
Bougainville,JPT,AntemoroMad,328,-0.003458,-6.687,1330,1399,19953
Bougainville,JPT,AntemoroMad,321,-0.004,-10.826,1339,1418,19953
Bougainville,JPT,AntemoroMad,344,-0.0038,-5.981,1318,1394,19835
Bougainville,JPT,VezoMad,360,-0.003572,-8.018,1359,1431,19953
Bougainville,JPT,VezoMad,340,-0.003175,-9.104,1345,1409,19953
Bougainville,JPT,VezoMad,314,-0.004062,-8.706,1336,1417,19953
Bougainville,JPT,MikeaMad,319,-0.003371,-8.652,1339,1406,19953
Bougainville,JPT,MikeaMad,320,-0.003896,-7.441,1336,1414,19953
Bougainville,JPT,MikeaMad,324,-0.003763,-7.971,1328,1403,19953
Bougainville,JPT,KalmyksRU,53,-0.010408,-23.259,1400,1608,19953
Bougainville,JPT,KalmyksRU,77,-0.010458,-20.478,1400,1609,19939
Bougainville,JPT,KalmyksRU,108,-0.00704,-17.526,1406,1547,19953
Bougainville,JPT,AleutRU,283,0.004397,10.912,1480,1392,19953
Bougainville,JPT,AleutRU,412,0.006605,11.388,1519,1387,19953
Bougainville,JPT,AleutRU,418,0.001882,3.962,1405,1367,19953
Bougainville,JPT,OngeInd,183,0.001505,1.667,1478,1448,19816
Bougainville,JPT,OngeInd,460,0.002355,3.945,1497,1450,19953
Bougainville,JPT,OngeInd,1003,0.012085,18.15,1626,1384,19953
Bougainville,JPT,152,93,-0.005797,-5.703,1407,1523,19943
Bougainville,JPT,152,103,-0.006956,-8.805,1403,1542,19944
Bougainville,JPT,152,474,-0.008123,-9.919,1416,1578,19944
Bougainville,JPT,418,421,0.007732,14.49,1540,1386,19953
Bougainville,JPT,418,404,0.004691,9.067,1465,1371,19953
Bougainville,JPT,418,AleutRU,-0.001882,-3.962,1367,1405,19953
Bougainville,JPT,200,475,-0.00185,-3.926,1459,1496,19953
Bougainville,JPT,200,154,0.004616,9.401,1540,1448,19953
Bougainville,JPT,200,141,-0.001204,-2.094,1484,1508,19953
Bougainville,JPT,766,216,0.010761,12.571,1563,1349,19949
Bougainville,JPT,766,771,0.009412,10.679,1552,1364,19949
Bougainville,JPT,766,453,-0.023722,-21.142,1187,1659,19876
Bougainville,JPT,165,419,0.00358,4.54,1506,1434,19899
Bougainville,JPT,165,166,-0.003696,-5.146,1418,1491,19899
Bougainville,JPT,165,475,-0.004086,-5.432,1416,1497,19899
Bougainville,JPT,454,435,0.010797,19.653,1612,1396,19953
Bougainville,JPT,454,214,0.008304,18.433,1575,1409,19953
Bougainville,JPT,454,429,0.007998,15.267,1578,1419,19953
Bougainville,JPT,460,183,-0.000917,-1.203,1427,1445,19816
Bougainville,JPT,460,188,-0.001608,-4.224,1438,1471,19953
Bougainville,JPT,460,212,-0.000846,-1.552,1432,1449,19953
Bougainville,JPT,213,462,-0.007414,-15.673,1411,1559,19953
Bougainville,JPT,213,183,-0.0066,-8.139,1AleutRU,1533,19816
Bougainville,JPT,213,167,-0.007517,-17.558,1414,1564,19953
Bougainville,JPT,182,1008,0.0089,20.828,1575,1398,19953
Bougainville,JPT,182,435,0.009656,20.059,1571,1378,19953
Bougainville,JPT,182,166,-0.001802,-5.319,1447,1483,19953
Bougainville,JPT,493,75,-0.002227,-2.97,1369,1413,19774
Bougainville,JPT,493,97,-0.002317,-3.082,1354,1400,19774
Bougainville,JPT,493,566,-0.0023,-2.254,1358,1404,19726
Bougainville,JPT,758,453,-0.017141,-17.964,1206,1547,19880
Bougainville,JPT,758,771,0.016028,21.582,1632,1312,19953
Bougainville,JPT,758,766,0.006625,6.4,1500,1367,19949
Bougainville,JPT,781,771,0.013776,22.069,1604,1329,19953
Bougainville,JPT,781,215,0.010516,19.434,1557,1347,19953
Bougainville,JPT,781,309,-0.018633,-26.458,1210,1582,19953
Bougainville,JPT,191,1007,0.011233,22.229,1619,1395,19953
Bougainville,JPT,191,472,0.000133,0.342,1464,1462,19953
Bougainville,JPT,191,462,0.000429,1.336,1439,1430,19953
Bougainville,JPT,538,541,0.000088,0.154,1372,1370,19953
Bougainville,JPT,538,372,-0.000688,-1.172,1393,1407,19953
Bougainville,JPT,538,544,0.000139,0.24,1370,1368,19953
Bougainville,JPT,1,1013,-0.000626,-1.447,1399,1412,19953
Bougainville,JPT,1,337,-0.00061,-1.356,1AleutRU,1414,19953
Bougainville,JPT,1,1010,0.00051,1.442,1439,1429,19953